POP1	POP2	ASSIGNER	DIVERSITY	GENODIVE	HIERFSTAT	STAMPP	STRATAG	SNPRELATE_MEAN	SNPRELATE_WEIGHTED
G100	G102	0.122906144	0.1232	0.115	0.122906143660032	0.123068863280099	0.12306886328010348	0.07893341880280176	0.13879681167530145
G100	G103	0.21010994	0.2104	0.215	0.210109939777457	0.210790241713894	0.21079024171389918	0.11804038334421108	0.23096066775167948
G100	G108	0.394327992	0.3948	0.39	0.394327991855039	0.394327991855039	0.39432799185504364	0.21318657464654614	0.39471247353749545
G100	G109	0.298729	0.2992	0.287	0.298729000213359	0.299080067676833	0.29908006767683537	0.16454639813297758	0.30094392579456863
G100	G111	0.369215653	0.3697	0.356	0.369215652504878	0.369425509091492	0.3694255090914977	0.2006724125095276	0.36580330013878504
G100	G118	0.16856832	0.1692	0.156	0.168568319692029	0.169073108873638	0.16907310887363652	0.10511860894105789	0.17415614917958824
G100	G122	0.268705417	0.2697	0.255	0.26870541677365	0.268870029840002	0.26887002984000247	0.15809164647181354	0.27711130637052406
G100	G124	0.365855352	0.3663	0.362	0.365855351577949	0.365958863600275	0.3659588636002785	0.2004683141853658	0.3692336612893297
G102	G103	0.118102501	0.1183	0.115	0.118102500995638	0.118526661335009	0.11852666133501488	0.07091598866910759	0.13907235951292454
G102	G108	0.322366148	0.3226	0.319	0.322366148122768	0.322454627015617	0.3224546270156273	0.15010025322060583	0.3297160425706538
G102	G109	0.21417668	0.2144	0.207	0.214176679564002	0.214427918614394	0.2144279186143994	0.10984028393580876	0.22826142766389054
G102	G111	0.28398693	0.2843	0.279	0.28398692986843	0.28398692986843	0.2839869298684395	0.13707249765039886	0.29327906082300453
G102	G118	0.048624826	0.0488	0.043	0.0486248263324253	0.0488044178528075	0.04880441785280842	0.049092423703208654	0.07344872443633253
G102	G122	0.156956942	0.1573	0.152	0.156956942425368	0.156956942425368	0.15695694242537198	0.08927596041049835	0.1837480555887473
G102	G124	0.293399819	0.2936	0.292	0.293399818752116	0.293399818752116	0.29339981875212495	0.13887482901380815	0.3033106064729145
G103	G108	0.330454962	0.3306	0.328	0.330454962162029	0.330544957656672	0.3305449576566774	0.1674477005775778	0.33813431282723644
G103	G109	0.236197049	0.2364	0.239	0.236197048882365	0.236600075468141	0.23660007546814465	0.12832613592086303	0.25485403949296587
G103	G111	0.304480387	0.3048	0.3	0.304480386801747	0.304480386801747	0.30448038680175393	0.1575866859597178	0.31272694901704673
G103	G118	0.150059517	0.1504	0.15	0.150059516915679	0.150644846293361	0.15064484629336122	0.08805571947978254	0.16981935697317996
G103	G122	0.110884847	0.1111	0.114	0.110884846768057	0.111203468840057	0.11120346884005995	0.07533683212436328	0.13782514155998526
G103	G124	0.307585986	0.3079	0.309	0.30758598556578	0.308092953325399	0.308092953325404	0.15925144806781866	0.3168645399393082
G108	G109	0.303958725	0.3043	0.296	0.303958724548588	0.304542125339791	0.3045421253397943	0.16834536623322033	0.30235426596061776
G108	G111	0.29362303	0.2943	0.278	0.293623030393193	0.29382822997889	0.293828229978892	0.17310780889695296	0.2852774837452976
G108	G118	0.349132891	0.3494	0.348	0.349132890679794	0.349426628226283	0.3494266282262787	0.17689109157677846	0.3534427972542049
G108	G122	0.397212298	0.3977	0.391	0.397212298365076	0.397757693648466	0.39775769364846536	0.21961379033393783	0.4019629822899974
G108	G124	0.230595919	0.2311	0.224	0.230595919017668	0.230940445723301	0.23094044572330288	0.1433832589950162	0.2344095287569028
G109	G111	0.226301301	0.2268	0.202	0.226301300782747	0.226769898376254	0.2267698983762561	0.13294398198817942	0.21752340175255963
G109	G118	0.245857531	0.2465	0.237	0.245857530683904	0.245857530683904	0.24585753068390623	0.1314781036874518	0.2557473646365565
G109	G122	0.302236931	0.3029	0.293	0.302236930673628	0.30336319873488	0.3033631987348807	0.16960305630820746	0.3143083400221529
G109	G124	0.268525283	0.2689	0.265	0.268525282741141	0.268961003583331	0.26896100358333425	0.15387574164337187	0.27016981518904143
G111	G118	0.320234329	0.3208	0.306	0.320234329168929	0.320875836791367	0.32087583679136905	0.1653288798239734	0.3216314506800989
G111	G122	0.370043007	0.3705	0.357	0.370043006830592	0.370354037184075	0.37035403718407356	0.20698481702450447	0.3711336017950407
G111	G124	0.258184589	0.2588	0.253	0.258184589177277	0.25854913395742	0.25854913395742296	0.16003201886613494	0.2577115437755507
G118	G122	0.188998498	0.1897	0.182	0.188998498313577	0.18911605723249	0.18911605723249056	0.11364139703375749	0.2085235309840917
G118	G124	0.323212336	0.3237	0.319	0.323212335755405	0.323212335755404	0.32321233575540576	0.16601236604213163	0.3302204427145366
G122	G124	0.372699656	0.3734	0.362	0.372699655966532	0.37332100456655	0.37332100456655043	0.20933988298850356	0.37595978822889625
